step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
1460,0.0002932679003137297,1.3137767910957336,1.3208274751427396,1.2640892267227173,0.2083786129951477,184439.4080555706,10.65976095199585
1470,0.00029312797957368976,1.2474987208843231,1.3171610374298186,1.2578673362731934,0.23033617436885834,184406.30091681695,10.661674737930298
1480,0.00029298665764659307,1.2096020877361298,1.311783089945134,1.2468013763427734,0.1892666220664978,184406.709167179,10.661651134490967
1490,0.00029284393607791363,1.2022183537483215,1.3063048531352934,1.2582932710647583,0.18506115674972534,180009.93896087696,10.92206358909607
1500,0.0002926998164284317,1.2202110588550568,1.3020001634212817,1.2603479623794556,0.18837395310401917,175253.66076388897,11.21848177909851
1510,0.00029255430027421656,1.1823762357234955,1.2960189670363922,1.2449711561203003,0.18700626492500305,175221.9706260007,11.220510721206665
1520,0.00029240738920660966,1.2575723230838776,1.2940966348387664,1.2466084957122803,0.1814912110567093,176835.73621141346,11.118114709854126
1530,0.00029225908483220686,1.2082390785217285,1.2898037570229144,1.2467950582504272,0.19366244971752167,177007.639465251,11.107317209243774
1540,0.00029210938877284105,1.2419193387031555,1.2874095361069264,1.268908143043518,0.18325775861740112,176915.39465537405,11.11310863494873
1550,0.00029195830266556436,1.192878633737564,1.2826829909884583,1.2426077127456665,0.20020359754562378,176917.9718443322,11.11294674873352
1560,0.00029180582816263023,1.171889066696167,1.2771432947738437,1.236898422241211,0.2039465457201004,176958.33609142574,11.110411882400513
1570,0.00029165196693147535,1.253013253211975,1.27593679269575,1.240657091140747,0.17928650975227356,176917.42148103303,11.11298131942749
1580,0.00029149672065470163,1.2234416902065277,1.2733120375712887,1.2418839931488037,0.18852604925632477,176952.1618110062,11.110799551010132
1590,0.0002913400910300573,1.1994057595729828,1.2696167236713736,1.2372349500656128,0.21578042209148407,176865.32327840253,11.116254806518555
1600,0.000291182079770419,1.2480706572532654,1.268539420350468,1.2488662004470825,0.18915307521820068,176872.08330793466,11.115829944610596
1610,0.0002910226886037725,1.2687776386737823,1.2685513312666337,1.2318321466445923,0.2066051959991455,176836.20264008272,11.118085384368896
1620,0.00029086191927319403,1.212407410144806,1.2657441352105423,1.242448329925537,0.16955652832984924,176817.16069925646,11.119282722473145
1630,0.00029069977353683127,1.2035574316978455,1.2626348000349072,1.2284467220306396,0.178436741232872,176820.94828546123,11.119044542312622
1640,0.00029053625316788394,1.2192584574222565,1.2604659829042746,1.2289375066757202,0.18280825018882751,181559.63272996616,10.82883882522583
1650,0.00029037135995458474,1.1719789505004883,1.2560416312840852,1.2331089973449707,0.17602139711380005,184344.5563411923,10.665245771408081
1660,0.00029020509570017926,1.202495813369751,1.2533643403883685,1.2352029085159302,0.1821482628583908,184365.81888209755,10.664015769958496
1670,0.00029003746222290686,1.2148371040821075,1.2514379785730556,1.2272427082061768,0.17581450939178467,184413.03109289907,10.661285638809204
1680,0.00028986846135598037,1.174024760723114,1.2475673176805586,1.2360994815826416,0.1763429492712021,184328.74141185795,10.666160821914673
1690,0.00028969809494756616,1.2184869349002838,1.2461132985415448,1.2306407690048218,0.18671444058418274,182201.9003132989,10.790666818618774
1700,0.00028952636486076407,1.1718487441539764,1.2424000708221665,1.2198824882507324,0.17487677931785583,182756.2137634579,10.757937908172607
1710,0.00028935327297358667,1.2068967521190643,1.2406249048870113,1.236578106880188,0.16748958826065063,183215.79966404848,10.730952262878418
1720,0.0002891788211789392,1.238031953573227,1.2404952573213222,1.231708288192749,0.18150505423545837,184216.79183156366,10.672642707824707
1730,0.0002890030113845986,1.2307263314723969,1.2400068110288758,1.2138125896453857,0.1721723973751068,182561.17515884564,10.769431114196777
1740,0.0002888258455131925,1.2513575851917267,1.2405743497370183,1.2122331857681274,0.19105708599090576,184364.7925293415,10.664075136184692
1750,0.0002886473255021785,1.2629568874835968,1.241693476624347,1.2148215770721436,0.1964874267578125,184429.42558107318,10.660337924957275
1760,0.00028846745330382285,1.1918196976184845,1.239199787674054,1.2189948558807373,0.1741727590560913,184369.05464731538,10.663828611373901
1770,0.0002882862308851791,1.2139287292957306,1.2379362347551377,1.2304743528366089,0.1815541386604309,184308.26597532065,10.667345762252808
1780,0.00028810366022806667,1.172190010547638,1.2346489235447626,1.196675419807434,0.16673396527767181,184366.5196114269,10.663975238800049
1790,0.00028791974332904885,1.1510483622550964,1.2304688954802794,1.20377779006958,0.1783134639263153,184312.65318591488,10.667091846466064
1800,0.00028773448219941147,1.169575035572052,1.2274242024848678,1.2115346193313599,0.17804467678070068,184414.50338440223,10.661200523376465
1810,0.0002875478788651406,1.2007042169570923,1.226088203208479,1.2170194387435913,0.17558680474758148,180257.9534983663,10.907036066055298
1820,0.00028735993536690036,1.1881087124347687,1.2241892286697933,1.211412787437439,0.17778068780899048,177624.2070552612,11.068761587142944
1830,0.0002871706537600107,1.2294936180114746,1.2244544481368773,1.2113282680511475,0.18406125903129578,177491.4146574234,11.077042818069458
1840,0.00028698003611442503,1.180918276309967,1.2222776395455317,1.2136681079864502,0.1743115931749344,177625.01434167486,11.068711280822754
1850,0.00028678808451470736,1.1581476926803589,1.2190711422022729,1.2075140476226807,0.17884661257266998,181170.22763110435,10.852114200592041
